"logFC","logCPM","PValue","FDR","ID"
2.69004521801414,4.57754084711381,1.8117827587067e-26,9.22163422896692e-25,"7975"
2.68978152233343,6.65927910601438,3.35972751385676e-37,3.18922134252853e-35,"16012"
2.6875239466498,4.14505804578688,1.11239309994421e-23,4.54167376396577e-22,"13048"
2.6838582951799,10.0234189476125,6.57285112960393e-42,7.89782143642599e-40,"9828"
2.6804147516189,7.62926498650481,2.34785367908079e-39,2.58961126345833e-37,"13533"
2.66681700791238,3.20073863884133,2.4034544730031e-15,5.1039802203539e-14,"447"
2.65925743912295,2.35946370658042,3.2094230299893e-08,3.10713392271019e-07,"8347"
2.65613933855382,7.96045261052991,2.79629226301938e-39,3.05101198927718e-37,"11418"
2.65208401778717,2.97791199327731,1.76946323499617e-13,3.10473747841057e-12,"7956"
2.65036941861817,3.37587079169141,1.16511386244097e-16,2.79996033904327e-15,"2075"
2.64953310142706,5.15539990414671,1.37544534749994e-29,8.67535877816822e-28,"10337"
2.64079282706262,7.36063951445365,5.26572412058545e-38,5.234019498917e-36,"3724"
2.63875019415303,4.73949032179236,4.86329890917306e-27,2.58626694091458e-25,"9714"
2.63360303879267,3.06481664567915,2.69724796149958e-14,5.14129041657325e-13,"839"
2.63074775210033,4.29438625755976,9.64516340929921e-24,3.99810976693331e-22,"6257"
2.62896994952343,2.95497219656578,4.1788436394766e-13,6.97760303390178e-12,"7192"
2.62859707368638,2.11139480363468,2.10515277560852e-06,1.58094641791644e-05,"3732"
2.62031625822434,8.40351124104361,4.00947989196073e-39,4.34971289993568e-37,"3023"
2.61919723790691,2.4057947217317,7.21373281156866e-09,7.57063114580603e-08,"16303"
2.61801498491914,3.62718123425871,1.67499216447533e-18,4.61534488281047e-17,"4848"
2.61485719754904,4.73873687780095,1.06032248005091e-26,5.48507419176198e-25,"8973"
2.60874071422439,5.1844566335507,3.71556093084905e-29,2.31278440236621e-27,"1219"
2.59714377144388,2.75336146862026,3.21034594112253e-11,4.40697163356552e-10,"12609"
2.59712492841271,4.61276091911158,1.9961130817453e-25,9.28828599434671e-24,"14252"
2.59428817333428,2.77276054140776,1.68634312762495e-11,2.38741418925873e-10,"437"
2.59346681162493,3.19038198272183,1.33551252386418e-14,2.6383668330449e-13,"7965"
2.58791029863909,3.21453266212878,5.34503782426538e-15,1.09941000101493e-13,"8990"
