"logFC","logCPM","PValue","FDR","ID"
-2.1906103431592,2.15182778819507,1.61293118283249e-19,4.79209679281297e-18,"10288"
-2.19033220900134,3.56714439997813,1.72809242990075e-43,2.23182549535141e-41,"5269"
-2.18755684963919,2.3552147405959,1.59596712419858e-23,6.40580039173575e-22,"10738"
-2.18742886404735,4.5564470622327,3.60193864564765e-51,6.05157568032041e-49,"2893"
-2.18500685479094,4.76017733184583,7.24016776068073e-53,1.32167870131273e-50,"2201"
-2.18148163079917,2.19821479386723,3.06304692513977e-20,9.56446478187145e-19,"16114"
-2.17995010688733,2.35039553495064,2.83013788545924e-23,1.11012743296371e-21,"5879"
-2.17779260260269,2.15560041293361,1.61293118283249e-19,4.79209679281297e-18,"2127"
-2.17726074454858,4.00791513264456,6.38022007455202e-48,9.38980450506745e-46,"8924"
-2.17593221824836,6.42238270115668,1.96803475424784e-61,4.79014612940964e-59,"13757"
-2.17476299050997,3.2936306087568,2.35977218108133e-39,2.58961126345833e-37,"4499"
-2.16624370340842,2.73819183708589,3.22950910876131e-30,2.12502997774021e-28,"9968"
-2.16542498387029,3.65962982039324,1.49190732478813e-43,1.9399904493906e-41,"7897"
-2.16501163161777,3.18674335165688,4.91067841609417e-37,4.61530840245287e-35,"9947"
-2.16280909336779,6.46204422977333,1.02005979657053e-60,2.42072940473644e-58,"8022"
-2.16107493345668,2.14001528162233,1.17409761950579e-18,3.27797695681139e-17,"15253"
-2.16024713006306,3.44467439781397,1.09699016595499e-40,1.23232889352991e-38,"2814"
-2.16015565741788,7.49125399079677,6.88098957090847e-63,1.78952858909174e-60,"13516"
-2.15691918477664,2.51439344403957,5.97278161513008e-26,2.93844696264534e-24,"12847"
-2.15472625879547,4.77083994057224,3.01071640894961e-51,5.10343312713468e-49,"13697"
-2.15049965295621,3.95451811525874,5.63295897953357e-46,7.92160935010703e-44,"7000"
-2.1438736054902,2.19353136256991,2.26255524169224e-19,6.66997069309429e-18,"8847"
-2.13332197929602,2.95035227565425,3.01806136315858e-32,2.21227393743497e-30,"10960"
-2.13230358661518,3.13506728116433,3.50735234683897e-35,2.95942596909946e-33,"52"
-2.12633937647785,3.43107680134548,6.41225468920984e-39,6.87777713416095e-37,"4227"
-2.12419693390816,3.93930712961337,6.15506644077851e-45,8.34670974129857e-43,"6438"
-2.12000681661393,2.08473879100539,7.09475828380001e-17,1.74248364835632e-15,"5151"
-2.11988473825983,2.05716581594058,1.26597377989928e-16,3.03466063275099e-15,"2960"
-2.1148277695866,3.40872971551102,3.52077378554174e-38,3.61307515235188e-36,"6337"
-2.11466370461396,1.93272094212618,4.91169933764422e-14,9.20674240033913e-13,"15503"
